Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,"30,716","196,631,588",92.0,84274754.0,"1,713,126","5,767,700",651565900.0,"5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,"28,113","174,597,137",92.0,116347040.0,"3,486,739","674,700",35223547.0,"208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",,0
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,"54,331","211,607,669",92.0,122599116.0,"2,228,730","3,025,400",275154237.0,"3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",,0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,"269,802","136,569,078",85.0,1096100899.0,"10,629,796","7,189,811",1078757968.0,"14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,"7,223","151,469,874",88.0,77373957.0,"3,670,188","16,400",,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",,0
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,"105,892","175,421,034",83.0,131148091.0,"1,392,593","4,202,367",214943489.0,"2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",,0
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,"73,118","201,585,714",86.0,308723145.0,"4,120,760",,29584940.0,"534,915,313","4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,"65,447,476","57,372",,"9,990,302",,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,"40,094","211,236,940",92.0,228382568.0,"1,439,495","3,500,000",338546668.0,"3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",,0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1,15,,,,,,,,,,,,,,,,,,,0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,"10,400","184,199,419",86.0,32735244.0,"988,682","325,800",121574500.0,"974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",,0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,"16,219","168,766,158",91.0,32229063.0,"550,191",,184500.0,"2,100,000","327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,"23,155,471","21,172","1,594,605","963,413",,0
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2,"263,767",,,,,,,,,,,,,2.0,,,,,,0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,"13,800","197,280,692",92.0,40022524.0,"1,307,290","195,300",45889000.0,"360,017,000","342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",,0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,"43,025","108,168,634",88.0,98081493.0,"1,456,177",,,,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,"26,252,264","18,364","12,038,034","1,963,314",,0
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,277,"24,445",12.0,6736502312.0,"16,785,489",3,1088.0,"22,234",,1.0,"1,057",,,,,,,,"3,288",,0
